[2025-04-16 19:05:31] ==================================================
[2025-04-16 19:05:35] GCNN for Shastry-Sutherland lattice
[2025-04-16 19:05:35] ==================================================
[2025-04-16 19:05:35] System parameters:
[2025-04-16 19:05:35]   - System size: L=4, N=64
[2025-04-16 19:05:35]   - System parameters: J1=0.03, J2=0.05, Q=0.95
[2025-04-16 19:05:41] --------------------------------------------------
[2025-04-16 19:05:41] Model parameters:
[2025-04-16 19:05:41]   - Number of layers = 4
[2025-04-16 19:05:41]   - Number of features = 4
[2025-04-16 19:05:41]   - Symmetries used: 128
[2025-04-16 19:05:41]   - Total parameters = 12572
[2025-04-16 19:05:41] --------------------------------------------------
[2025-04-16 19:05:41] Training parameters:
[2025-04-16 19:05:41]   - Learning rate: 0.02
[2025-04-16 19:05:42]   - Total annealing steps: 1000
[2025-04-16 19:05:42]   - Samples: 4096
[2025-04-16 19:05:42]   - Discarded samples: 0
[2025-04-16 19:05:42]   - Chunk size: 1024
[2025-04-16 19:05:42] --------------------------------------------------
[2025-04-16 19:05:42] Device status:
[2025-04-16 19:05:42]   - Number of devices: 4
[2025-04-16 19:05:42]   - Sharding: False
[2025-04-16 19:05:49] --------------------------------------------------
[2025-04-16 19:05:49] Start training...
[2025-04-16 19:17:15] Iteration: 128/1000, Temp: 0.0387, Energy: -50.414418-0.031564j, Rel_err(%): 7.1179
[2025-04-16 19:17:20] Iteration: 129/1000, Temp: 0.0379, Energy: -50.427788-0.069718j, Rel_err(%): 7.0942
[2025-04-16 19:17:26] Iteration: 130/1000, Temp: 0.0371, Energy: -50.464584-0.043168j, Rel_err(%): 7.0257
[2025-04-16 19:17:31] Iteration: 131/1000, Temp: 0.0364, Energy: -50.572364-0.010287j, Rel_err(%): 6.8267
[2025-04-16 19:17:36] Iteration: 132/1000, Temp: 0.0357, Energy: -50.506844-0.021933j, Rel_err(%): 6.9475
[2025-04-16 19:17:41] Iteration: 133/1000, Temp: 0.0350, Energy: -50.488437-0.024594j, Rel_err(%): 6.9815
[2025-04-16 19:17:46] Iteration: 134/1000, Temp: 0.0343, Energy: -50.603158-0.004352j, Rel_err(%): 6.7700
[2025-04-16 19:17:52] Iteration: 135/1000, Temp: 0.0336, Energy: -50.583023-0.028909j, Rel_err(%): 6.8073
[2025-04-16 19:17:57] Iteration: 136/1000, Temp: 0.0329, Energy: -50.616098-0.008063j, Rel_err(%): 6.7461
[2025-04-16 19:18:02] Iteration: 137/1000, Temp: 0.0323, Energy: -50.708786+0.004866j, Rel_err(%): 6.5754
[2025-04-16 19:18:07] Iteration: 138/1000, Temp: 0.0316, Energy: -50.587337+0.001709j, Rel_err(%): 6.7991
[2025-04-16 19:18:12] Iteration: 139/1000, Temp: 0.0310, Energy: -50.692324-0.010165j, Rel_err(%): 6.6057
[2025-04-16 19:18:17] Iteration: 140/1000, Temp: 0.0304, Energy: -50.863892-0.006705j, Rel_err(%): 6.2896
[2025-04-16 19:18:23] Iteration: 141/1000, Temp: 0.0298, Energy: -50.896242-0.004445j, Rel_err(%): 6.2300
[2025-04-16 19:18:28] Iteration: 142/1000, Temp: 0.0292, Energy: -50.888008-0.002385j, Rel_err(%): 6.2452
[2025-04-16 19:18:33] Iteration: 143/1000, Temp: 0.0286, Energy: -50.818441-0.030707j, Rel_err(%): 6.3736
[2025-04-16 19:18:38] Iteration: 144/1000, Temp: 0.0281, Energy: -50.876841-0.008769j, Rel_err(%): 6.2658
[2025-04-16 19:18:43] Iteration: 145/1000, Temp: 0.0275, Energy: -50.824627-0.015494j, Rel_err(%): 6.3620
[2025-04-16 19:18:49] Iteration: 146/1000, Temp: 0.0270, Energy: -50.781307-0.005100j, Rel_err(%): 6.4418
[2025-04-16 19:18:54] Iteration: 147/1000, Temp: 0.0264, Energy: -50.830342-0.035419j, Rel_err(%): 6.3517
[2025-04-16 19:18:59] Iteration: 148/1000, Temp: 0.0259, Energy: -50.798480-0.019626j, Rel_err(%): 6.4102
[2025-04-16 19:19:04] Iteration: 149/1000, Temp: 0.0254, Energy: -50.957403-0.015550j, Rel_err(%): 6.1174
[2025-04-16 19:19:09] Iteration: 150/1000, Temp: 0.0249, Energy: -50.929228+0.005726j, Rel_err(%): 6.1692
[2025-04-16 19:19:15] Iteration: 151/1000, Temp: 0.0244, Energy: -50.907862+0.002118j, Rel_err(%): 6.2086
[2025-04-16 19:19:20] Iteration: 152/1000, Temp: 0.0239, Energy: -50.911901-0.031386j, Rel_err(%): 6.2014
[2025-04-16 19:19:25] Iteration: 153/1000, Temp: 0.0234, Energy: -51.000381-0.012592j, Rel_err(%): 6.0382
[2025-04-16 19:19:30] Iteration: 154/1000, Temp: 0.0230, Energy: -51.094983-0.006318j, Rel_err(%): 5.8639
[2025-04-16 19:19:35] Iteration: 155/1000, Temp: 0.0225, Energy: -51.040183+0.003104j, Rel_err(%): 5.9648
[2025-04-16 19:19:41] Iteration: 156/1000, Temp: 0.0221, Energy: -51.006952+0.020077j, Rel_err(%): 6.0261
[2025-04-16 19:19:46] Iteration: 157/1000, Temp: 0.0216, Energy: -50.984958+0.011186j, Rel_err(%): 6.0666
[2025-04-16 19:19:51] Iteration: 158/1000, Temp: 0.0212, Energy: -51.036917+0.023280j, Rel_err(%): 5.9710
[2025-04-16 19:19:56] Iteration: 159/1000, Temp: 0.0208, Energy: -51.082262-0.001482j, Rel_err(%): 5.8873
[2025-04-16 19:20:01] Iteration: 160/1000, Temp: 0.0204, Energy: -51.104299+0.004065j, Rel_err(%): 5.8467
[2025-04-16 19:20:07] Iteration: 161/1000, Temp: 0.0200, Energy: -51.050792+0.014180j, Rel_err(%): 5.9453
[2025-04-16 19:20:12] Iteration: 162/1000, Temp: 0.0196, Energy: -51.086838-0.010522j, Rel_err(%): 5.8789
[2025-04-16 19:20:17] Iteration: 163/1000, Temp: 0.0192, Energy: -51.010035+0.025688j, Rel_err(%): 6.0205
[2025-04-16 19:20:22] Iteration: 164/1000, Temp: 0.0188, Energy: -50.976997+0.004068j, Rel_err(%): 6.0812
[2025-04-16 19:20:27] Iteration: 165/1000, Temp: 0.0184, Energy: -51.099747+0.007986j, Rel_err(%): 5.8551
[2025-04-16 19:20:32] Iteration: 166/1000, Temp: 0.0181, Energy: -51.089728-0.002021j, Rel_err(%): 5.8735
